"dim_column_id","dim_table_id","ID","Name","Usage","OrderBy","IsKeyColumn","NameColumn_DataType","NameColumn_DataSize","NameColumn_NullProcessing","NameColumn_TableName","NameColumn_ColumnName"
"1","1","Binary CD","Indicator","Key","Key","True","WChar","14","","BinaryDim","Binary_Desc"
"2","2","GEO AREA SK","Census - Geographical Area","Key","Name","True","WChar","255","","CensusGeographicalAreaDim","GEO_AREA_DSPL_NM"
"3","2","GEO AREA TYPE","Census - Geographical Area Type","Regular","Key","False","","","","",""
"4","3","MSR TYPE SK","Census - Measure Type","Key","Name","True","WChar","1024","","CensusMeasureTypeDim","SRC_MSR_TYPE_NM"
"5","4","SRC SK","Census - Source","Key","Name","True","WChar","255","","CensusSourceDim","SRC_DESC"
"6","4","SRC YR","Census - Source - Year","Regular","Key","False","","","","",""
"7","4","SRC ESTMTE IN YRS","Census - Source  - Type","Regular","Key","False","","","","",""
"8","5","PRTY SQNC","DRG - Sequence","Key","Key","True","","","","",""
"9","6","DRG TYPE CD","DRG - Type","Key","Key","True","WChar","2059","","DRGTypeDim","DRG_TYPE_DSPLY_NM"
"10","7","DRG CD SK","DRG ID","Key","Name","True","WChar","255","","DRGDim","DRG_NM"
"11","7","MDC CD","MDC","Regular","Name","False","WChar","100","","DRGDim","MDC_NM"
"12","7","DRG CLASS","DRG Classification","Regular","Key","False","","","","",""
"13","7","DRG NM","DRG","Regular","Name","False","","","","",""
"14","7","SVL CD","Service Line","Regular","Name","False","WChar","21","","DRGDim","MSDRG_SVL"
"15","8","CLNDR DT","Date","Key","Key","True","","","","",""
"16","8","YR NUM","Date - Year","Regular","Name","False","","","","",""
"17","8","YR AND MTH NUM","Date - Month","Regular","Key","False","WChar","30","","DW_CLNDR_DIM","YR_AND_MTH_NM"
"18","8","YR AND QTR NUM","Date - Quarter","Regular","Name","False","WChar","150","","DW_CLNDR_DIM","YR_AND_QTR_ABBR"
"19","8","FSCL YR NUM","Date - Fiscal Year","Regular","Name","False","","","","",""
"20","8","FSCL QTR NUM","Date - Fiscal Quarter","Regular","Name","False","WChar","150","","DW_CLNDR_DIM","FSCL_QTR_ABBR"
"21","8","FSCL MTH NUM","Date - Fiscal Month","Regular","Key","False","WChar","30","","DW_CLNDR_DIM","MTH_OF_YR_NM"
"22","8","DY OF WK NUM","Date - Day of Week","Regular","Key","False","WChar","30","","DW_CLNDR_DIM","DY_OF_WK_NM"
"23","9","DEPT SK","Department","Key","Key","True","WChar","250","","DepartmentDim","DEPT_NM"
"24","9","CITY","Department - City","Regular","Name","False","","","","",""
"25","9","ST PRV CDS","Department - State","Regular","Name","False","WChar","255","","DepartmentDim","ST_PRV_NM"
"26","9","PSTL CDS","Department - Zip Code","Regular","Key","False","","","","",""
"27","9","SPCLY CDS","Department - Specialty","Regular","Name","False","WChar","255","","DepartmentDim","SPCLY_NM"
"28","9","PRFSNL BILLNG CL CDS","Department - Professional Billing Claim Code","Regular","Name","False","WChar","255","","DepartmentDim","PRFSNL_BILLNG_CL_NM"
"29","9","LO CDS","Department - Location","Regular","Name","False","WChar","255","","DepartmentDim","LO_NM"
"30","9","SRVC AREA CDS","Department - Service Area","Regular","Name","False","WChar","255","","DepartmentDim","SRVC_AREA_NM"
"31","9","ALT SRVC AREA CDS","Department - Alternative Service Area","Regular","Name","False","WChar","255","","DepartmentDim","ALT_SRVC_AREA_NM"
"32","9","ICU DEPT IND","Department - ICU Indicator","Regular","Name","False","","","","",""
"33","9","PCU DEPT IND","Department - PCU Indicator","Regular","Name","False","","","","",""
"34","9","RSTCT IND","Department - Restricted Indicator","Regular","Name","False","","","","",""
"35","9","SRC DEPT ID","Department - Name","Regular","Name","False","WChar","250","","DepartmentDim","DEPT_NM"
"36","9","FCM Region ID","Department - FCM Region","Regular","Name","False","WChar","100","","DepartmentDim","FCM_Region_Name"
"37","9","LOC TYPE CDS","Department - Location Type","Regular","Name","False","WChar","255","","DepartmentDim","LOC_TYPE_DESC"
"38","10","PRSNT ON ADMT CDS SK","Diagnosis - Present on Admit","Key","Key","True","WChar","255","","DiagnosisPresentOnAdmit","PRSNT_ON_ADMT_DESC"
"39","11","SRC TYPE","Diagnosis - Source","Key","Name","True","WChar","32","","DiagnosisSourceDim","SRC_TYPE_DSPLY_NM"
"40","12","DIAG HIR SK","Diagnosis - Hierarchy","Key","Key","True","WChar","255","","dbo_DIAG_HYR_DIM","DIAG_CLS_DESC"
"41","12","DIAG PRN SK","Diagnosis - Grouping","Parent","Key","False","","","","",""
"42","13","DIAG CD SK","Diagnosis - Name","Key","Key","True","WChar","255","","dbo_DIAG_BRIDGE","DIAG_CD_DESC"
"43","13","DIAG HIR SK","Diagnosis - Hierarchy","Regular","Key","False","","","","",""
"44","14","EDPTNT VST SK","ED Visit","Key","Key","True","WChar","","ZeroOrBlank","EDVisitDim","EDPTNT_VST_SK"
"45","14","MEANS ARRVL CDS","ED Visit - Means of Arrival","Regular","Name","False","WChar","255","","EDVisitMeansOfArrivalDim","MEANS_ARRVL_DESC"
"46","14","ACTY LVL CDS","ED Visit - Acuity Level","Regular","Name","False","WChar","15","","EDVisitActivityLevelDim","ACTY_LVL_DESC"
"47","14","VST FNNCL CLSS CDS","ED Visit - Financial Class","Regular","Name","False","WChar","255","","EDVisitFinancialClass","VST_FNNCL_CLSS_DESC"
