"dim_table_id","Name","Value"
"1","KeyNotFound","ReportAndStop"
"1","KeyDuplicate","ReportAndStop"
"1","NullKeyNotAllowed","ReportAndStop"
"2","KeyNotFound","ReportAndStop"
"2","KeyDuplicate","ReportAndStop"
"2","NullKeyNotAllowed","ReportAndStop"
"3","KeyNotFound","ReportAndStop"
"3","KeyDuplicate","ReportAndStop"
"3","NullKeyNotAllowed","ReportAndStop"
"4","KeyNotFound","ReportAndStop"
"4","KeyDuplicate","ReportAndStop"
"4","NullKeyNotAllowed","ReportAndStop"
"5","KeyNotFound","ReportAndStop"
"5","KeyDuplicate","ReportAndStop"
"5","NullKeyNotAllowed","ReportAndStop"
"6","KeyNotFound","ReportAndStop"
"6","KeyDuplicate","ReportAndStop"
"6","NullKeyNotAllowed","ReportAndStop"
"7","KeyNotFound","ReportAndStop"
"7","KeyDuplicate","ReportAndStop"
"7","NullKeyNotAllowed","ReportAndStop"
"8","KeyNotFound","ReportAndStop"
"8","KeyDuplicate","ReportAndStop"
"8","NullKeyNotAllowed","ReportAndStop"
"9","KeyNotFound","ReportAndStop"
"9","KeyDuplicate","ReportAndStop"
"9","NullKeyNotAllowed","ReportAndStop"
"10","KeyNotFound","ReportAndStop"
"10","KeyDuplicate","ReportAndStop"
"10","NullKeyNotAllowed","ReportAndStop"
"11","KeyNotFound","ReportAndStop"
"11","KeyDuplicate","ReportAndStop"
"11","NullKeyNotAllowed","ReportAndStop"
"12","KeyNotFound","ReportAndStop"
"12","KeyDuplicate","ReportAndStop"
"12","NullKeyNotAllowed","ReportAndStop"
"13","KeyNotFound","ReportAndStop"
"13","KeyDuplicate","ReportAndStop"
"13","NullKeyNotAllowed","ReportAndStop"
"14","KeyNotFound","ReportAndStop"
"14","KeyDuplicate","ReportAndStop"
"14","NullKeyNotAllowed","ReportAndStop"
"15","KeyNotFound","ReportAndStop"
"15","KeyDuplicate","ReportAndStop"
"15","NullKeyNotAllowed","ReportAndStop"
"16","KeyNotFound","ReportAndStop"
"16","KeyDuplicate","ReportAndStop"
"16","NullKeyNotAllowed","ReportAndStop"
"17","KeyNotFound","ReportAndStop"
"17","KeyDuplicate","ReportAndStop"
"17","NullKeyNotAllowed","ReportAndStop"
"18","KeyNotFound","ReportAndStop"
"18","KeyDuplicate","ReportAndStop"
"18","NullKeyNotAllowed","ReportAndStop"
"19","KeyNotFound","ReportAndStop"
"19","KeyDuplicate","ReportAndStop"
"19","NullKeyNotAllowed","ReportAndStop"
"20","KeyNotFound","ReportAndStop"
"20","KeyDuplicate","ReportAndStop"
"20","NullKeyNotAllowed","ReportAndStop"
"21","KeyNotFound","ReportAndStop"
"21","KeyDuplicate","ReportAndStop"
"21","NullKeyNotAllowed","ReportAndStop"
"22","KeyNotFound","ReportAndStop"
"22","KeyDuplicate","ReportAndStop"
"22","NullKeyNotAllowed","ReportAndStop"
"23","KeyNotFound","ReportAndStop"
"23","KeyDuplicate","ReportAndStop"
"23","NullKeyNotAllowed","ReportAndStop"
"24","KeyNotFound","ReportAndStop"
"24","KeyDuplicate","ReportAndStop"
"24","NullKeyNotAllowed","ReportAndStop"
"25","KeyNotFound","ReportAndStop"
"25","KeyDuplicate","ReportAndStop"
"25","NullKeyNotAllowed","ReportAndStop"
"26","KeyNotFound","ReportAndStop"
"26","KeyDuplicate","ReportAndStop"
"26","NullKeyNotAllowed","ReportAndStop"
"27","KeyNotFound","ReportAndStop"
"27","KeyDuplicate","ReportAndStop"
"27","NullKeyNotAllowed","ReportAndStop"
"28","KeyNotFound","ReportAndStop"
"28","KeyDuplicate","ReportAndStop"
"28","NullKeyNotAllowed","ReportAndStop"
"29","KeyNotFound","ReportAndStop"
"29","KeyDuplicate","ReportAndStop"
"29","NullKeyNotAllowed","ReportAndStop"
"30","KeyNotFound","ReportAndStop"
"30","KeyDuplicate","ReportAndStop"
"30","NullKeyNotAllowed","ReportAndStop"
"31","KeyNotFound","ReportAndStop"
"31","KeyDuplicate","ReportAndStop"
"31","NullKeyNotAllowed","ReportAndStop"
"32","KeyNotFound","ReportAndStop"
"32","KeyDuplicate","ReportAndStop"
"32","NullKeyNotAllowed","ReportAndStop"
"33","KeyNotFound","ReportAndStop"
"33","KeyDuplicate","ReportAndStop"
"33","NullKeyNotAllowed","ReportAndStop"
"34","KeyNotFound","ReportAndStop"
"34","KeyDuplicate","ReportAndStop"
"34","NullKeyNotAllowed","ReportAndStop"
"35","KeyNotFound","ReportAndStop"
"35","KeyDuplicate","ReportAndStop"
"35","NullKeyNotAllowed","ReportAndStop"
"36","KeyNotFound","ReportAndStop"
"36","KeyDuplicate","ReportAndStop"
"36","NullKeyNotAllowed","ReportAndStop"
"37","KeyNotFound","ReportAndStop"
"37","KeyDuplicate","ReportAndStop"
"37","NullKeyNotAllowed","ReportAndStop"
"38","KeyNotFound","ReportAndStop"
"38","KeyDuplicate","ReportAndStop"
"38","NullKeyNotAllowed","ReportAndStop"
"39","KeyNotFound","ReportAndStop"
"39","KeyDuplicate","ReportAndStop"
"39","NullKeyNotAllowed","ReportAndStop"
"40","KeyNotFound","ReportAndStop"
"40","KeyDuplicate","ReportAndStop"
"40","NullKeyNotAllowed","ReportAndStop"
